Dates,PX_TO_BOOK_RATIO
28/09/2001,1.1269
05/10/2001,1.2521
12/10/2001,1.1969
19/10/2001,1.1122
26/10/2001,1.1195
02/11/2001,1.1195
09/11/2001,1.149
16/11/2001,1.1122
23/11/2001,1.2006
30/11/2001,1.16
07/12/2001,1.16
14/12/2001,1.1122
21/12/2001,1.149
28/12/2001,1.1969
29/03/2002,1.2834
05/04/2002,1.301
12/04/2002,1.2588
19/04/2002,1.2869
26/04/2002,1.2447
03/05/2002,1.2201
10/05/2002,1.2342
17/05/2002,1.2588
24/05/2002,1.2412
31/05/2002,1.192
07/06/2002,1.1568
14/06/2002,1.1146
21/06/2002,1.0724
28/06/2002,1.0549
04/10/2002,1.0287
11/10/2002,0.9752
18/10/2002,1.0454
25/10/2002,1.0554
01/11/2002,1.0387
08/11/2002,1.0487
15/11/2002,1.0621
22/11/2002,1.0487
29/11/2002,1.0754
06/12/2002,1.0621
13/12/2002,1.0454
20/12/2002,1.0253
27/12/2002,1.0587
04/04/2003,0.8677
11/04/2003,0.8233
18/04/2003,0.8595
25/04/2003,0.8463
02/05/2003,0.8826
09/05/2003,0.9073
16/05/2003,0.8793
23/05/2003,0.8809
30/05/2003,0.9418
06/06/2003,0.9945
13/06/2003,1.0143
20/06/2003,1.0406
27/06/2003,0.9781
03/10/2003,1.125
10/10/2003,1.1283
17/10/2003,1.1184
24/10/2003,1.0655
31/10/2003,1.0357
07/11/2003,1.1416
14/11/2003,1.1118
21/11/2003,1.0588
28/11/2003,1.0886
05/12/2003,1.1416
12/12/2003,1.178
19/12/2003,1.2044
26/12/2003,1.1912
02/01/2004,1.1738
09/01/2004,1.2029
16/01/2004,1.177
23/01/2004,1.19
30/01/2004,1.1219
06/02/2004,1.1511
13/02/2004,1.1608
20/02/2004,1.2062
27/02/2004,1.2224
05/03/2004,1.271
12/03/2004,1.2516
19/03/2004,1.2192
26/03/2004,1.2534
02/04/2004,1.1424
09/04/2004,1.1787
16/04/2004,1.1847
23/04/2004,1.2422
30/04/2004,1.2059
07/05/2004,1.1666
14/05/2004,1.1757
21/05/2004,1.1757
28/05/2004,1.2089
04/06/2004,1.2271
11/06/2004,1.2573
18/06/2004,1.2935
25/06/2004,1.2996
02/07/2004,1.298
09/07/2004,1.248
16/07/2004,1.2715
23/07/2004,1.2568
30/07/2004,1.3186
06/08/2004,1.2244
13/08/2004,1.2185
20/08/2004,1.2156
27/08/2004,1.2921
03/09/2004,1.2391
10/09/2004,1.2421
17/09/2004,1.2332
24/09/2004,1.2215
01/10/2004,1.208
08/10/2004,1.2338
15/10/2004,1.1793
22/10/2004,1.1649
29/10/2004,1.185
05/11/2004,1.1879
12/11/2004,1.1793
19/11/2004,1.1535
26/11/2004,1.1219
03/12/2004,1.119
10/12/2004,1.1047
17/12/2004,1.1592
24/12/2004,1.1822
31/12/2004,1.1723
07/01/2005,1.1667
14/01/2005,1.1667
21/01/2005,1.1414
28/01/2005,1.1189
04/02/2005,1.1386
11/02/2005,1.1695
18/02/2005,1.1723
25/02/2005,1.1357
04/03/2005,1.1498
11/03/2005,1.1526
18/03/2005,1.1273
25/03/2005,1.1329
01/04/2005,1.0956
08/04/2005,1.1228
15/04/2005,1.0792
22/04/2005,1.0493
29/04/2005,1.0465
06/05/2005,1.0711
13/05/2005,1.0438
