Dates,PER
04/04/2003,7.0879
11/04/2003,6.7248
18/04/2003,7.0207
25/04/2003,6.9131
02/05/2003,7.209
09/05/2003,7.4107
16/05/2003,7.1821
23/05/2003,7.1955
30/05/2003,7.6932
06/06/2003,8.1236
13/06/2003,8.285
20/06/2003,8.5002
27/06/2003,8.4195
04/07/2003,10.0714
11/07/2003,10.1334
18/07/2003,9.6375
25/07/2003,9.6375
01/08/2003,9.4206
08/08/2003,9.4516
15/08/2003,10.1643
22/08/2003,10.2263
29/08/2003,9.9784
05/09/2003,10.7841
12/09/2003,11.3729
19/09/2003,11.4659
26/09/2003,10.5658
03/10/2003,9.3735
10/10/2003,9.4011
17/10/2003,9.3184
24/10/2003,8.8773
31/10/2003,8.6292
07/11/2003,9.5114
14/11/2003,9.2633
21/11/2003,8.8221
28/11/2003,9.0703
05/12/2003,9.5114
12/12/2003,9.8146
19/12/2003,10.0352
26/12/2003,9.9249
02/01/2004,9.2251
09/01/2004,9.4544
16/01/2004,9.2505
23/01/2004,9.3525
30/01/2004,8.8173
06/02/2004,9.0467
13/02/2004,9.1231
20/02/2004,9.4799
27/02/2004,9.6073
05/03/2004,9.9896
12/03/2004,9.8367
19/03/2004,9.5818
26/03/2004,9.8509
02/04/2004,10.0048
01/04/2005,8.628
08/04/2005,8.8426
15/04/2005,8.4992
22/04/2005,8.2631
29/04/2005,8.2417
06/05/2005,8.4348
13/05/2005,8.2202
20/05/2005,8.349
27/05/2005,8.3705
03/06/2005,8.349
10/06/2005,8.2202
17/06/2005,8.4778
24/06/2005,8.4563
01/07/2005,8.7167
08/07/2005,8.8471
15/07/2005,9.1079
22/07/2005,9.1079
29/07/2005,9.2384
05/08/2005,9.0645
12/08/2005,9.521
19/08/2005,9.4775
26/08/2005,9.8688
02/09/2005,9.7818
09/09/2005,10.0427
16/09/2005,10.347
23/09/2005,10.4339
30/09/2005,11.2768
07/10/2005,11.06
14/10/2005,11.3202
21/10/2005,10.8865
28/10/2005,11.2768
04/11/2005,11.7106
11/11/2005,11.5588
18/11/2005,12.7732
25/11/2005,12.6431
02/12/2005,12.8166
09/12/2005,12.578
16/12/2005,12.3395
23/12/2005,13.0117
30/12/2005,12.1651
06/01/2006,12.1452
13/01/2006,11.8669
20/01/2006,11.9067
27/01/2006,11.8272
03/02/2006,12.1054
10/02/2006,12.0458
17/02/2006,12.7614
24/02/2006,12.5825
03/03/2006,12.1651
10/03/2006,12.503
17/03/2006,12.503
24/03/2006,12.6223
31/03/2006,11.6825
07/04/2006,12.3366
14/04/2006,12.2457
21/04/2006,12.5364
28/04/2006,12.1004
05/05/2006,12.3548
12/05/2006,11.5735
19/05/2006,11.0648
