Dates,PX_TO_BOOK_RATIO
05/01/1973,0.6795
12/01/1973,0.6843
19/01/1973,0.6949
26/01/1973,0.6971
02/02/1973,0.6644
09/02/1973,0.655
16/02/1973,0.681
23/02/1973,0.6847
02/03/1973,0.6564
09/03/1973,0.6506
16/03/1973,0.6611
23/03/1973,0.6559
30/03/1973,0.6702
06/04/1973,0.5362
13/04/1973,0.5111
20/04/1973,0.5
27/04/1973,0.494
04/05/1973,0.5012
11/05/1973,0.5064
18/05/1973,0.5153
25/05/1973,0.5017
01/06/1973,0.4987
08/06/1973,0.5038
15/06/1973,0.5005
22/06/1973,0.5069
29/06/1973,0.5059
06/07/1973,0.5105
13/07/1973,0.5263
20/07/1973,0.5343
27/07/1973,0.539
03/08/1973,0.5471
10/08/1973,0.5409
17/08/1973,0.5344
24/08/1973,0.535
31/08/1973,0.5377
07/09/1973,0.5243
14/09/1973,0.5214
21/09/1973,0.499
28/09/1973,0.5146
05/10/1973,0.5182
12/10/1973,0.5076
19/10/1973,0.5131
26/10/1973,0.521
02/11/1973,0.5217
09/11/1973,0.5163
16/11/1973,0.4891
23/11/1973,0.4782
30/11/1973,0.4919
07/12/1973,0.4732
14/12/1973,0.4439
21/12/1973,0.4496
28/12/1973,0.4657
04/01/1974,0.462
11/01/1974,0.4559
18/01/1974,0.4725
25/01/1974,0.4901
01/02/1974,0.4936
08/02/1974,0.5022
15/02/1974,0.4988
22/02/1974,0.4907
01/03/1974,0.4962
08/03/1974,0.4932
15/03/1974,0.4882
22/03/1974,0.4816
29/03/1974,0.4855
05/04/1974,0.482
12/04/1974,0.4925
19/04/1974,0.4991
26/04/1974,0.4966
03/05/1974,0.5058
10/05/1974,0.5068
17/05/1974,0.5062
24/05/1974,0.5077
31/05/1974,0.5189
07/06/1974,0.5156
14/06/1974,0.5118
21/06/1974,0.511
28/06/1974,0.5059
05/07/1974,0.5068
12/07/1974,0.495
19/07/1974,0.4913
26/07/1974,0.4917
02/08/1974,0.4773
09/08/1974,0.4643
16/08/1974,0.4582
23/08/1974,0.4401
30/08/1974,0.439
06/09/1974,0.4391
13/09/1974,0.4392
20/09/1974,0.4395
27/09/1974,0.4322
04/10/1974,0.4085
11/10/1974,0.3945
18/10/1974,0.4091
25/10/1974,0.3965
01/11/1974,0.3931
08/11/1974,0.4021
15/11/1974,0.4135
