Date,Value
2018-02-28,619900.0
2018-01-31,617450.0
2017-12-31,629000.0
2017-11-30,628450.0
2017-10-31,624900.0
2017-09-30,624000.0
2017-08-31,599000.0
2017-07-31,599000.0
2017-06-30,624900.0
2017-05-31,635000.0
2017-04-30,629000.0
2017-03-31,624950.0
2017-02-28,629900.0
2017-01-31,630000.0
2016-12-31,625000.0
2016-11-30,624900.0
2016-10-31,624900.0
2016-09-30,624900.0
2016-08-31,619450.0
2016-07-31,624900.0
2016-06-30,639900.0
2016-05-31,619900.0
2016-04-30,624900.0
2016-03-31,625000.0
2016-02-29,649950.0
2016-01-31,677000.0
2015-12-31,649900.0
2015-11-30,654945.0
2015-10-31,649900.0
2015-09-30,649990.0
2015-08-31,632000.0
2015-07-31,649700.0
2015-06-30,659990.0
2015-05-31,659990.0
2015-04-30,650000.0
2015-03-31,649000.0
2015-02-28,659000.0
2015-01-31,674000.0
2014-12-31,664500.0
2014-11-30,669000.0
2014-10-31,674500.0
2014-09-30,653010.0
2014-08-31,671500.0
2014-07-31,629900.0
2014-06-30,568500.0
2014-05-31,540000.0
2014-04-30,525000.0
2014-03-31,517450.0
2014-02-28,535000.0
2014-01-31,519900.0
2013-12-31,499900.0
2013-11-30,499900.0
2013-10-31,495000.0
2013-09-30,498550.0
2013-08-31,486995.0
2013-07-31,489000.0
2013-06-30,479900.0
2013-05-31,479990.0
2013-04-30,479450.0
2013-03-31,479900.0
2013-02-28,484990.0
2013-01-31,499000.0
2012-12-31,499000.0
2012-11-30,493950.0
2012-10-31,489000.0
2012-09-30,484495.0
2012-08-31,479000.0
2012-07-31,444000.0
2012-06-30,424900.0
2012-05-31,400000.0
2012-04-30,415000.0
2012-03-31,420000.0
2012-02-29,425000.0
2012-01-31,432000.0
2011-12-31,419000.0
2011-11-30,399500.0
2011-10-31,399000.0
2011-09-30,389900.0
2011-08-31,389900.0
2011-07-31,389000.0
2011-06-30,397500.0
2011-05-31,399000.0
2011-04-30,399000.0
2011-03-31,410000.0
2011-02-28,413999.5
2011-01-31,405000.0
2010-12-31,419900.0
2010-11-30,405000.0
2010-10-31,422600.0
2010-09-30,429450.0
2010-08-31,434900.0
2010-07-31,434900.0
2010-06-30,435000.0
2010-05-31,439000.0
2010-04-30,439950.0
2010-03-31,449900.0
2010-02-28,456840.0
2010-01-31,439900.0
